isrs_code;latitude;longitude
NLKAM0084D0440700073;52.5913741119105;5.96384149743798
NLDEM002065516500022;52.0819656607701;5.04871634005907
NLDEM002060773000025;52.0817104106518;5.04402032089487
NLDEM002060524700030;52.0828791133812;5.03689069493846
NLDEM002060773200034;52.083805484465;5.03155766321303
NLDEM002060773400040;52.0852931721299;5.02311451442022
NLDEM002060773600042;52.0859561603736;5.01954905033332
NLDEM002065771100048;52.087220604321;5.01193772190358
NLHAM002065771300053;52.0886522785983;5.00402857988847
NLUTC002060772000001;52.0823608431708;5.07821225128728
NLUTC002060772200002;52.0824217123054;5.07705945404621
NLUTC002060772600008;52.0823741322872;5.0688170500348
NLDEM002060772800014;52.0824227161679;5.06003395032711
NLHAA002020469800079;52.3856268304553;4.64629423558396
NLVAN001040549500008;51.9953585652766;5.09742926418138
NLVAN001040549700011;51.9928422147669;5.09753747607115
NLVAN001040549900044;51.9688978442195;5.07242786632221
NLVAN001040786300064;51.9555444574843;5.05496856994195
NLRTM001150351600190;51.9373295353992;4.10679271533539
NLRTM0115A0797900005;51.9357695383105;4.14230615116718
NLRTM0115A0798100005;51.9358606475824;4.14198742493244
NLLGB001240584700434;51.4987893592885;5.25034602704688
NLPRB001260731500099;51.6380719141;4.69830551566
NLERP001210400600301;51.5772981986847;5.58648657600525
NLSOM001210401400573;51.3636155166;5.74114326258
NLSOM001210401600586;51.3520508372;5.74319196736
NLLWE000140634400163;53.2859521061511;7.01468749015718
NLLWE000144944200154;53.2817260227783;7.00354842763291
NLLWI000320620700124;53.3091154229859;6.29528540852519
NLLWI000320620900163;53.3348649348273;6.2937288044328
NLLWR000260611900001;53.1950941263229;5.72168607460405
NLLWR000270322100420;53.2025306516641;5.78838001133127
NLLWR000270322300426;53.1979849967089;5.7877002546865
NLLWR000280511000006;53.192928908257;5.83595760371919
NLLWR000280511400015;53.2005520127157;5.83026037214204
NLLWR000280511700025;53.200282;5.816955
NLLWR000280511900035;53.1993871495141;5.80274755879166
NLLWR000280749100037;53.1992681497747;5.79977853447281
NLLWR000290659700014;53.1938987614662;5.86188372881991
NLLWR000290659900026;53.2038265290129;5.85760555625137
NLLWR000290660400041;53.2169343135597;5.85128189007721
NLLXM001040550200071;51.9493148264553;5.05071482519873
NLLXM001040550500118;51.921075934871;5.00799040992039
NLLZA0150K0780500007;51.7159140763888;4.69357958322522
NLLEE0003C0505300020;53.2379594907789;6.39245081831718
NLLIN001500796700426;51.1597593897518;5.89090525237031
NLLMR000210357200637;52.8526420646806;5.67710248522316
NLLMR000470339000138;52.8650777877117;5.67475160177059
NLLWE0014A5696800008;53.2930145534545;7.0079012696373
NLLWR000270321600402;53.2129170317946;5.80273679035348
NLLWR000270321900411;53.2062900447299;5.79690735021505
NLLWR000270322500435;53.1978734646221;5.77450900541152
NLLWR000275288400440;53.198538974457;5.76719671390834
NLMAK000670372400040;53.0544796170652;5.40213716420258
NLMAK000670372800045;53.0550756860713;5.40985213591241
NLMAN000930403600072;52.6842241139473;5.94638268168093
NLMAN000940500600290;52.6684763162304;5.93018030877097
NLMAN0093A4428800002;52.6817355200728;5.94631901453487
NLMAR000810832600210;52.1850271664228;6.48193823303304
NLMAR000810832800237;52.199390023363;6.51363839292353
NLMAR000810833000255;52.2095730644555;6.53363670421489
NLMDG0227E0428000029;52.3189153737907;5.10135023523177
NLMDG0227E0689900033;52.3171071445414;5.10627356586764
NLMDG0227E0690100036;52.3158051431313;5.10981799351728
NLMDM002440514500279;52.7689370076278;5.09514408969438
NLMDM002440514700286;52.7691403569807;5.10305464317231
NLMDM002440514900290;52.7703628837752;5.10812185735157
NLHJY001260733100354;51.6431379253687;4.39633373241022
NLHKD000380323600015;53.0417791598325;5.94758368443893
NLHKD000380323900035;53.0244650108755;5.94212173268548
NLHKD000380324100085;53.0058197789522;5.87544140204167
NLHKD000380607200086;53.005613523726;5.87313041290342
NLHKD0039C0488700000;53.0172378099587;5.85800354105296
NLHLL0027A0661500049;53.3035541119299;5.77943615977162
NLHLM001210675400422;51.4896802845649;5.68203679535041
NLHLM001210675600426;51.4862141021525;5.68402780796044
NLHLM001210676000441;51.4729375867118;5.6910494318688
NLHLM001210676200442;51.4725333798984;5.69119528288503
NLHLM001210676600464;51.4526803125347;5.6936313991571
NLHLM008520403200006;51.4695028730981;5.66788908342307
NLHLM0121A0402800008;51.4476620384679;5.68435597541812
NLHLM0121A0403000033;51.4659897754042;5.66261644573509
NLHLM0121A4204500012;51.4507163514482;5.68080410904573
NLHLR002180655100081;52.3824463366323;4.70772991214082
NLHLR002185542700080;52.3823724706975;4.70730487567105
NLHLR002185542900081;52.3825171804526;4.70813759111687
NLHME000800601800317;52.6202720577603;6.69713773942323
NLHNK001500814502132;51.7195546463419;4.89048901283756
NLHOX001500797200494;51.2027956417719;5.95439972703019
NLHPT000650635000004;53.183815820315;5.6860538220706
NLHPT000650635200024;53.1687505493673;5.68232972285826
NLHPT000655747700033;53.1623526040121;5.68476630973177
NLHRE000200508800175;53.1247326613584;6.60588436100328
NLHRE000200509000192;53.1396090870253;6.60468207307702
NLHRE0013A0607000004;53.1809365739257;6.65759503427093
NLHRN002530424700012;52.6391898900548;5.06587986053924
NLHRN002530424900014;52.6403884347354;5.06647235107259
NLHRV0039C0729300064;52.9709053238544;5.90578974541909
NLHRW0101A0552600013;51.7983078330223;5.35724655799787
NLHRW0101A0786800013;51.7984618174407;5.35701681166859
NLHRX001065730800003;51.8216273373735;4.82666092478316
NLHRX0104A0763500068;51.8305814069999;4.88217788987549
